experiment_id,source_experiment_id,method,stage,case_index,system_id,rollout_index,seed,steps,batch_size,run_status,error,finite_coords,sanitized,single_component,fixed_atoms_ok,fixed_bonds_ok,fixed_coords_ok,fixed_fragment_retained,raw_max_fixed_drift,no_protein_clash,num_pairwise_clashes,min_relative_distance,bond_lengths_ok,bond_angles_ok,no_internal_clash,geometry_ok,usable_output,same_molecule,canonical_isomeric_smiles,editable_rmsd_to_good,all_atom_rmsd_to_good,native_success,strict_success,runtime_seconds,peak_gpu_memory_mb,output_sha256,output_to_reference,sdf_path
20260723-02-official-fragment-inpainting-control,20260723-01-oracle-mask-repair-pilot,official_fragment_inpainting,formal,0,6pvz__1__1.A__1.C,0,2026072300,100,1,completed,,True,True,True,True,True,True,True,9.567833711565525e-07,True,0,0.9141202391039321,True,False,True,False,True,True,O=C([O-])Cc1coc2cc(Cc3ccccc3)ccc12,0.6112767694541752,0.23674647937076052,False,False,3.3617078252136707,429.7841796875,5b70fdfa95c719b247d00ef954da46dbeacdc702518353d12a4df93fbe8d16fd,"[0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,4,17,19]",outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072300.sdf
20260723-02-official-fragment-inpainting-control,20260723-01-oracle-mask-repair-pilot,official_fragment_inpainting,formal,0,6pvz__1__1.A__1.C,1,2026072301,100,1,completed,,True,True,True,True,True,True,True,9.567833711565525e-07,True,0,0.9186241182317868,True,True,True,True,True,True,O=C([O-])Cc1coc2cc(Cc3ccccc3)ccc12,1.1065038462688086,0.42854709943534797,True,True,3.3737343326210976,429.7841796875,379f82d794aa19600126bae06747d328ca940a9d6db0bb8a5c50e253c43bc658,"[0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,4,17,19]",outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072301.sdf
20260723-02-official-fragment-inpainting-control,20260723-01-oracle-mask-repair-pilot,official_fragment_inpainting,formal,0,6pvz__1__1.A__1.C,2,2026072302,100,1,completed,,True,True,True,True,True,True,True,9.567833711565525e-07,True,0,0.9199021988394086,True,True,True,True,True,True,O=C([O-])Cc1coc2cc(Cc3ccccc3)ccc12,1.1604746968694892,0.4494499198736718,True,True,3.309635010547936,429.7841796875,8ef9608a3d00be73f8cb152cb11dedc0e0af751e68876fa528bfa3f5c5e501ee,"[0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,4,17,19]",outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072302.sdf
20260723-02-official-fragment-inpainting-control,20260723-01-oracle-mask-repair-pilot,official_fragment_inpainting,formal,0,6pvz__1__1.A__1.C,3,2026072303,100,1,completed,,True,True,True,True,True,True,True,9.567833711565525e-07,True,0,0.9158940549425256,True,True,True,True,True,True,O=C([O-])Cc1coc2cc(Cc3ccccc3)ccc12,1.1173013065452253,0.43272893779414634,True,True,3.42543363571167,429.7841796875,e3073fe6e757179d46999e4c83ec63f32bd56ffaba203ec571ae6fa31dd1b3c4,"[0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,4,17,19]",outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072303.sdf
20260723-02-official-fragment-inpainting-control,20260723-01-oracle-mask-repair-pilot,official_fragment_inpainting,formal,0,6pvz__1__1.A__1.C,4,2026072304,100,1,completed,,True,True,True,True,True,True,True,9.567833711565525e-07,True,0,0.9152562760748663,True,False,True,False,True,True,O=C([O-])Cc1coc2cc(Cc3ccccc3)ccc12,1.8815445258459869,0.7287190628592407,False,False,3.303801279515028,429.7841796875,83f963f884007a91beced508d370e1dea8574689e43e029b809622b5075f1b48,"[0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,4,17,19]",outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072304.sdf
20260723-02-official-fragment-inpainting-control,20260723-01-oracle-mask-repair-pilot,official_fragment_inpainting,formal,0,6pvz__1__1.A__1.C,5,2026072305,100,1,completed,,True,True,True,True,True,True,True,9.567833711565525e-07,True,0,0.9110723840007932,True,False,True,False,True,True,O=C([O-])Cc1coc2cc(Cc3ccccc3)ccc12,1.1544681437820916,0.44712359187863276,False,False,3.348157089203596,429.7841796875,bab39c1a24315b81e93ac7e334061bb3025f7cf8b31c905a195cd8b0d68e91b6,"[0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,4,17,19]",outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072305.sdf
20260723-02-official-fragment-inpainting-control,20260723-01-oracle-mask-repair-pilot,official_fragment_inpainting,formal,0,6pvz__1__1.A__1.C,6,2026072306,100,1,completed,,True,True,True,True,True,True,True,9.567833711565525e-07,True,0,0.9123904639903624,True,True,True,True,True,True,O=C([O-])Cc1coc2cc(Cc3ccccc3)ccc12,1.0725306240574204,0.4153893271311265,True,True,3.2856300259009004,429.7841796875,d8484553cfdd9e1d63377bfb88482bcd346e9b5292ca793c380bbc7af7abdcae,"[0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,4,17,19]",outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072306.sdf
20260723-02-official-fragment-inpainting-control,20260723-01-oracle-mask-repair-pilot,official_fragment_inpainting,formal,0,6pvz__1__1.A__1.C,7,2026072307,100,1,completed,,True,True,True,True,True,True,True,9.567833711565525e-07,True,0,0.9116838645516601,True,True,True,True,True,True,O=C([O-])Cc1coc2cc(Cc3ccccc3)ccc12,1.68093839702937,0.651024643430992,True,True,3.2927074218168855,429.7841796875,5a339c3ffc61b08a30c97d82f17f0f8e62cf58f1d1927b2de9dbb9df763db945,"[0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,4,17,19]",outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072307.sdf
20260723-02-official-fragment-inpainting-control,20260723-01-oracle-mask-repair-pilot,official_fragment_inpainting,formal,0,6pvz__1__1.A__1.C,8,2026072308,100,1,completed,,True,True,True,True,True,True,True,9.567833711565525e-07,True,0,0.9084180430241974,True,True,True,True,True,True,O=C([O-])Cc1coc2cc(Cc3ccccc3)ccc12,1.610534991798585,0.6237575219061091,True,True,3.3671265775337815,429.7841796875,b1fc91a00553ee0eca53511a81afacf5a70728ee38ac58bca488bc631827f314,"[0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,4,17,19]",outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072308.sdf
20260723-02-official-fragment-inpainting-control,20260723-01-oracle-mask-repair-pilot,official_fragment_inpainting,formal,0,6pvz__1__1.A__1.C,9,2026072309,100,1,completed,,True,True,True,True,True,True,True,9.567833711565525e-07,True,0,0.9126305222507148,True,False,True,False,True,True,O=C([O-])Cc1coc2cc(Cc3ccccc3)ccc12,1.6513842237572485,0.6395783613713409,False,False,3.4750317139551044,429.7841796875,624ea9286b90062c061ce3655edc8b97aaf94140c13bc5228d5cab065c617835,"[0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,18,4,17,19]",outputs/20260723-02-official-fragment-inpainting-control/official_repairs/6pvz__1__1.A__1.C/seed_2026072309.sdf
